Config,NX,NY,Points,Total_Interp_Time
1,250,100,100,0.000162
1,250,100,10000,0.002774
1,250,100,1000000,0.165309
1,250,100,100000000,12.275367
1,250,100,1000000000,122.795745
2,500,200,100,0.000494
2,500,200,10000,0.001760
2,500,200,1000000,0.145873
2,500,200,100000000,14.865246
2,500,200,1000000000,148.717222
3,1000,400,100,0.001946
3,1000,400,10000,0.004893
3,1000,400,1000000,0.159102
3,1000,400,100000000,15.106701
3,1000,400,1000000000,151.019358
