ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000004373,0.000001531
8,0.000007008,0.000003239
16,0.000014746,0.000004988
32,0.000067355,0.000037659
64,0.000444433,0.000323274
128,0.003506319,0.003053380
256,0.033971492,0.032135919
512,1.159490912,1.152429299
1024,18.227953813,18.200543677
2048,211.489839058,211.379005148
4096,1586.460727552,1586.020821026
