ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000002899,0.000000247
8,0.000008488,0.000005214
16,0.000011801,0.000003231
32,0.000052465,0.000025370
64,0.000344261,0.000237505
128,0.002488229,0.002052674
256,0.018218779,0.016511714
512,0.156329728,0.149644227
1024,1.547346529,1.520215201
2048,107.049295290,106.939412881
4096,542.768208832,542.320297224
