ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000004855,0.000001603
8,0.000007216,0.000003061
16,0.000014810,0.000003861
32,0.000060200,0.000026693
64,0.000337292,0.000210890
128,0.002243212,0.001741763
256,0.014744329,0.012719481
512,0.095286981,0.087425611
1024,0.953791403,0.923968057
2048,9.553611435,9.424515323
4096,68.140541543,67.622794326
