ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000004651,0.000001566
8,0.000004881,0.000000896
16,0.000015231,0.000005237
32,0.000069827,0.000038628
64,0.000468922,0.000344562
128,0.003868882,0.003364015
256,0.038219548,0.036253925
512,1.162096969,1.154948544
1024,18.370044769,18.343013215
2048,212.990015751,212.878861703
4096,1583.589360171,1583.149517320
