ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000003628,0.000000996
8,0.000010931,0.000005430
16,0.000015711,0.000006786
32,0.000055130,0.000028794
64,0.000387441,0.000268937
128,0.002334293,0.001875608
256,0.017213098,0.015439887
512,0.131078369,0.124381059
1024,1.036218346,1.008714290
2048,8.810114549,8.699871163
4096,70.107050301,69.656799096
