ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000001764,0.000000578
8,0.000004329,0.000002411
16,0.000016974,0.000009288
32,0.000092080,0.000061357
64,0.000608647,0.000486986
128,0.004439040,0.003957773
256,0.032271014,0.030324083
512,0.248080389,0.240195882
1024,1.977044640,1.946381693
2048,16.105581013,15.983320910
4096,128.322515406,127.822300960
