ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000003287,0.000000282
8,0.000002840,0.000000968
16,0.000015349,0.000007016
32,0.000085597,0.000054899
64,0.000583228,0.000460452
128,0.004387111,0.003897512
256,0.032301052,0.030348831
512,0.252431341,0.244390502
1024,2.117269135,2.086210870
2048,35.711582279,35.586899764
4096,311.077508649,310.577647719
