ProblemSize,AvgE2ETime,AvgAlgoTime
4,0.000001534,0.000000472
8,0.000003146,0.000001221
16,0.000015911,0.000007219
32,0.000093954,0.000060716
64,0.000569497,0.000444917
128,0.004187847,0.003690345
256,0.031111472,0.029082550
512,0.231566102,0.222923761
1024,1.857270178,1.825471291
2048,15.380154278,15.253056505
4096,123.083592893,122.576616746
